ticker,mktshare,ipo_date
000950.SZ,"59,87,99,235.00",9/16/1999
000951.SZ,"41,94,25,500.00",11/25/1999
000952.SZ,"25,17,05,513.00",11-12-1999
000953.SZ,"29,40,59,437.00",12-02-1999
000955.SZ,"53,83,95,000.00",12-09-1999
000957.SZ,"23,85,04,950.00",1/13/2000
000958.SZ,"48,33,93,000.00",12/23/1999
000959.SZ,"5,28,93,89,600.00",12/16/1999
000960.SZ,"1,15,12,20,391.00",2/21/2000
000961.SZ,"1,16,78,39,226.00",03-01-2000
000962.SZ,"44,08,32,644.00",1/20/2000
000963.SZ,"43,40,59,991.00",1/27/2000
000965.SZ,"1,00,89,37,178.00",04-06-2000
000966.SZ,"55,41,42,040.00",3/16/2000
000967.SZ,"30,66,66,541.00",3/30/2000
000968.SZ,"51,37,47,000.00",6/22/2000
000969.SZ,"86,27,96,348.00",5/29/2000
000970.SZ,"1,06,52,00,000.00",4/20/2000
000971.SZ,"24,31,00,000.00",4/27/2000
000972.SZ,"77,12,83,579.00",9/26/2000
000973.SZ,"96,74,23,171.00",5/25/2000
000975.SZ,"1,08,16,16,070.00",06-08-2000
000976.SZ,"58,66,42,796.00",06-01-2000
000977.SZ,"95,97,25,752.00",06-08-2000
000978.SZ,"36,01,00,000.00",5/18/2000
000979.SZ,"4,61,03,07,849.00",6/16/2000
000980.SZ,"52,81,40,000.00",6/16/2000
000981.SZ,"85,90,05,200.00",6/22/2000
000982.SZ,"1,80,50,43,279.00",07-06-2000
000983.SZ,"3,15,12,00,000.00",7/26/2000
000985.SZ,"12,96,39,500.00",7/26/2000
000987.SZ,"35,89,58,107.00",7/18/2000
000988.SZ,"89,11,16,632.00",06-08-2000
000989.SZ,"29,76,05,268.00",6/28/2000
000990.SZ,"38,76,83,644.00",07-06-2000
000993.SZ,"37,30,00,000.00",7/31/2000
000995.SZ,"17,74,08,000.00",08-07-2000
000996.SZ,"23,00,00,000.00",7/18/2000
000997.SZ,"93,66,05,998.00",08-07-2000
000998.SZ,"99,61,00,000.00",12-11-2000
000999.SZ,"97,89,00,000.00",03-09-2000
001696.SZ,"1,14,50,26,920.00",03-06-1997
001896.SZ,"85,52,75,976.00",1/22/1998
002001.SZ,"1,08,89,19,000.00",6/25/2004
002002.SZ,"97,20,39,206.00",6/25/2004
002003.SZ,"40,77,65,288.00",6/25/2004
002004.SZ,"1,88,34,82,885.00",6/25/2004
002005.SZ,"1,39,64,00,000.00",6/25/2004
002006.SZ,"45,51,60,000.00",6/25/2004
002007.SZ,"58,13,04,800.00",6/25/2004
002008.SZ,"1,05,59,74,944.00",6/25/2004
